old_name,keep_name,confidence,note
N. Al Aqidi,Nawaf Al Aqidi,مؤكد,player_id=193288 — حَكَم قاطع (merge_by_id.py)
Mohammed Maran,Mohammed Marran,مؤكد,player_id=193289 — حَكَم قاطع (merge_by_id.py)
M. Maran,Mohammed Marran,مؤكد,player_id=193289 — حَكَم قاطع (merge_by_id.py)
Mohammed Aldhulayfi,Mohammed Al Dhulayfi,مؤكد,player_id=196325 — حَكَم قاطع (merge_by_id.py)
Malek Al Abdulmanam,Malek Al Abadalmanam,مؤكد,player_id=197068 — حَكَم قاطع (merge_by_id.py)
M. Al Abdulmanam,Malek Al Abadalmanam,مؤكد,player_id=197068 — حَكَم قاطع (merge_by_id.py)
K. Al Absi,Khalil Al Absi,مؤكد,player_id=197956 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
M. Al Kunaydiri,Mohammed Al Kunaydiri,مؤكد,player_id=197961 — حَكَم قاطع (merge_by_id.py)
M. Al Beshe,Mansor Al Beshe,مؤكد,player_id=197962 — حَكَم قاطع (merge_by_id.py)
M. Al Harbi,Moteb Al Harbi,مؤكد,player_id=202381 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Y. Naji,Yahya Naji,مؤكد,player_id=203479 — حَكَم قاطع (merge_by_id.py)
E. Fernández,Ezequiel Fernández,مؤكد,player_id=237087 — حَكَم قاطع (merge_by_id.py)
N. Al Rashwodi,Nawaf Al Rashwodi,مؤكد,player_id=268086 — حَكَم قاطع (merge_by_id.py)
H. Asiri,Haitham Asiri,مؤكد,player_id=268087 — حَكَم قاطع (merge_by_id.py)
A. Al Nashri,Awad Al Nashri,مؤكد,player_id=269171 — حَكَم قاطع (merge_by_id.py)
Z. Al Johani,Ziyad Al Johani,مؤكد,player_id=269172 — حَكَم قاطع (merge_by_id.py)
M. Al Khaibari,Mohammed Al Khaibari,مؤكد,player_id=269946 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Ziyad Aljari,Ziyad Al Jari,مؤكد,player_id=270784 — حَكَم قاطع (merge_by_id.py)
Z. Al Jari,Ziyad Al Jari,مؤكد,player_id=270784 — حَكَم قاطع (merge_by_id.py)
N. Al Rashidi,Noor Al Rashidi,مؤكد,player_id=277176 — حَكَم قاطع (merge_by_id.py)
Hassan Hashim Al-Ali,Hassan Al Ali,مؤكد,player_id=278140 — حَكَم قاطع (merge_by_id.py)
Saad Yaslam,S. Balobaid,مؤكد,player_id=280501 — حَكَم قاطع (merge_by_id.py)
M. Gluscevic,Matija Glušćević,مؤكد,player_id=284099 — حَكَم قاطع (merge_by_id.py)
A. Al Haydar,Arif Al Haydar,مؤكد,player_id=286548 — حَكَم قاطع (merge_by_id.py)
H. Al Asmari,Hassan Al Asmari,مؤكد,player_id=286665 — حَكَم قاطع (merge_by_id.py)
S. Al Hawsawi,Sanousi Al Hawsawi,مؤكد,player_id=286672 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
A. Al Shanqiti,Abdullah Al Shanqiti,مؤكد,player_id=288004 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
R. Ozaybi,Raed Ozaybi,مؤكد,player_id=290640 — حَكَم قاطع (merge_by_id.py)
O. Al Othman,Othman Al Othman,مؤكد,player_id=296657 — حَكَم قاطع (merge_by_id.py)
S. Al Nasser,Saad Al Nasser,مؤكد,player_id=296940 — حَكَم قاطع (merge_by_id.py)
A. Radif,Abdullah Radif,مؤكد,player_id=301526 — حَكَم قاطع (merge_by_id.py)
B. M. Munshi,Bader Munshi,مؤكد,player_id=301657 — حَكَم قاطع (merge_by_id.py)
S. Hazazi,Sulaiman Hahya Hazazi,مؤكد,player_id=302861 — حَكَم قاطع (merge_by_id.py)
I. Hawsawi,Islam Hawsawi,مؤكد,player_id=306383 — حَكَم قاطع (merge_by_id.py)
A. Bahusayn,Ahmed Bahusayn,مؤكد,player_id=310391 — حَكَم قاطع (merge_by_id.py)
R. Al Bloushi,Rayan Al Bloushi,مؤكد,player_id=310441 — حَكَم قاطع (merge_by_id.py)
M. Abu Taha,Mohannad Abu Taha,مؤكد,player_id=310785 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
A. Al Sanbi,Abdulrahman Al Sanbi,مؤكد,player_id=310827 — حَكَم قاطع (merge_by_id.py)
B. Al Sayyali,Basil Al Sayyali,مؤكد,player_id=310832 — حَكَم قاطع (merge_by_id.py)
N. Al Saadi,Nawaf Al Saadi,مؤكد,player_id=310869 — حَكَم قاطع (merge_by_id.py)
Nawaf Al Sadi,Nawaf Al Saadi,مؤكد,player_id=310869 — حَكَم قاطع (merge_by_id.py)
A. Noor,Abdulaziz Noor,مؤكد,player_id=318091 — حَكَم قاطع (merge_by_id.py)
A. Al Hawsawi,Abdullah Al Hawsawi,مؤكد,player_id=325902 — حَكَم قاطع (merge_by_id.py)
Farhan Al Azmi,Farhan Al Azzmi,مؤكد,player_id=326638 — حَكَم قاطع (merge_by_id.py)
Farhan Al Aazmi,Farhan Al Azzmi,مؤكد,player_id=326638 — حَكَم قاطع (merge_by_id.py)
A. Al Harabi,Abdulaziz Al Harabi,مؤكد,player_id=326654 — حَكَم قاطع (merge_by_id.py)
Mohammed Al Aqal,Mohammed Al Aqel,مؤكد,player_id=326655 — حَكَم قاطع (merge_by_id.py)
S. Al Mousa,Saad Al Mosa,مؤكد,player_id=326982 — حَكَم قاطع (merge_by_id.py)
M. Mahzari,Mohammed Mahzari,مؤكد,player_id=326984 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Waleed Al Anzi,Waled Al Enazi,مؤكد,player_id=326985 — حَكَم قاطع (merge_by_id.py)
W. Al Enezi,Waled Al Enazi,مؤكد,player_id=326985 — حَكَم قاطع (merge_by_id.py)
Rayan Hamed,Rayan Hamidou,مؤكد,player_id=327574 — حَكَم قاطع (merge_by_id.py)
S. Al Zaid,Suhayb Al Zaid,مؤكد,player_id=334582 — حَكَم قاطع (merge_by_id.py)
K. A. Al Sibyani H.,Hussain Al Sibyani,مؤكد,player_id=340978 — حَكَم قاطع (merge_by_id.py)
A. Al Oyayari,Abdulmalik Al Oyayari,مؤكد,player_id=341233 — حَكَم قاطع (merge_by_id.py)
H. Rabea,Hassan Rabea,مؤكد,player_id=347745 — حَكَم قاطع (merge_by_id.py)
U. Hernandez,Unai Hernández,مؤكد,player_id=348539 — حَكَم قاطع (merge_by_id.py)
M. Al Absi,Mohammed Al Absi,مؤكد,player_id=349793 — حَكَم قاطع (merge_by_id.py)
S. Al Najdi,Salem Al Najdi,مؤكد,player_id=350381 — حَكَم قاطع (merge_by_id.py)
Salem Alnajdi,Salem Al Najdi,مؤكد,player_id=350381 — حَكَم قاطع (merge_by_id.py)
Abdulaziz Al-Aliwa,Abdulaziz Al Elewai,مؤكد,player_id=351914 — حَكَم قاطع (merge_by_id.py)
S. Al Harthi,Saleh Al Harthi,مؤكد,player_id=354940 — حَكَم قاطع (merge_by_id.py)
O. Al Mermesh,Osama Al Mermesh,مؤكد,player_id=355758 — حَكَم قاطع (merge_by_id.py)
Ahmed Darwish,Bandar Darwish,مؤكد,player_id=356128 — حَكَم قاطع (merge_by_id.py)
R. Al Tulayhi,Rakan Al Tulayhi,مؤكد,player_id=359731 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Mohammed Essa Harbush,M. Al Yami,مؤكد,player_id=363310 — حَكَم قاطع (merge_by_id.py)
J. Costa,João Costa,مؤكد,player_id=368096 — حَكَم قاطع (merge_by_id.py)
M. Barnawi,Mohammed Barnawi,مؤكد,player_id=369397 — حَكَم قاطع (merge_by_id.py)
M. Sulaiman,Mohammed Sulaiman,مؤكد,player_id=369413 — حَكَم قاطع (merge_by_id.py)
A. Al Faraj,Abdulaziz Al Faraj,مؤكد,player_id=369414 — حَكَم قاطع (merge_by_id.py)
Suwailem Al Menhali,Suwailem Al Manhali,مؤكد,player_id=369415 — حَكَم قاطع (merge_by_id.py)
M. Qasheesh,Majed Qasheesh,مؤكد,player_id=371528 — حَكَم قاطع (merge_by_id.py)
Z. Al Hawsawi,Zakaria Al Hawsawi,مؤكد,player_id=383175 — حَكَم قاطع (merge_by_id.py)
Zakaria Hawsawi,Zakaria Al Hawsawi,مؤكد,player_id=383175 — حَكَم قاطع (merge_by_id.py)
M. Al Abdullah,Mohammed Al Abdullah,مؤكد,player_id=383180 — حَكَم قاطع (merge_by_id.py)
H. Al Dubais,Hisham Al Dubais,مؤكد,player_id=383181 — حَكَم قاطع (merge_by_id.py)
A. Makki,Ali Makki,مؤكد,player_id=383676 — حَكَم قاطع (merge_by_id.py)
Abdulrhman,Abdulrahman Al Anazi,مؤكد,player_id=386934 — حَكَم قاطع (merge_by_id.py)
Hawswi,Abdulbasit Hawsawi,مؤكد,player_id=388481 — حَكَم قاطع (merge_by_id.py)
Abdulbasit Hawswi,Abdulbasit Hawsawi,مؤكد,player_id=388481 — حَكَم قاطع (merge_by_id.py)
M. Al Rajeh,Mubarak Al Rajeh,مؤكد,player_id=399417 — حَكَم قاطع (merge_by_id.py)
Safwan Saud,S. Al Johani,مؤكد,player_id=399703 — حَكَم قاطع (merge_by_id.py)
M. Fagihy,Muath Faqeehi,مؤكد,player_id=402495 — حَكَم قاطع (merge_by_id.py)
Muath Fagihy,Muath Faqeehi,مؤكد,player_id=402495 — حَكَم قاطع (merge_by_id.py)
A. Al Awardi,Abdulaziz Al Awardi,مؤكد,player_id=402634 — حَكَم قاطع (merge_by_id.py)
Mohammed Suhluli,Muhammad Sahlouli,مؤكد,player_id=402635 — حَكَم قاطع (merge_by_id.py)
M. Sahlouli,Muhammad Sahlouli,مؤكد,player_id=402635 — حَكَم قاطع (merge_by_id.py)
A. Abu Rasen,Ahmad Abu Raseen,مؤكد,player_id=405904 — حَكَم قاطع (merge_by_id.py)
Y. Al Zubaidi,Yaseen Al Zubaidi,مؤكد,player_id=409612 — حَكَم قاطع (merge_by_id.py)
F. Al Subiani,Faisal Al Subiani,مؤكد,player_id=409613 — حَكَم قاطع (merge_by_id.py)
A. Al Julaydan,Ahmed Al Julaydan,مؤكد,player_id=409632 — حَكَم قاطع (merge_by_id.py)
K. Al Asiri,Khalid Al Asiri,مؤكد,player_id=409634 — حَكَم قاطع (merge_by_id.py)
S. Al Sharfa,Saad Al Sharfa,مؤكد,player_id=420235 — حَكَم قاطع (merge_by_id.py)
Meshal Alaeli,Meshal Al Alaeli,مؤكد,player_id=420689 — حَكَم قاطع (merge_by_id.py)
M. Al Alaeli,Meshal Al Alaeli,مؤكد,player_id=420689 — حَكَم قاطع (merge_by_id.py)
Abdulrahman Al-Ghamdi,Abdul Rahman Al Ghamdi,مؤكد,player_id=423670 — حَكَم قاطع (merge_by_id.py)
Y. Al Jaber,Yaseen Khalid,مؤكد,player_id=423673 — حَكَم قاطع (merge_by_id.py)
Farhah Ali Alshamrani,Farhah Al Shamrani,مؤكد,player_id=423684 — حَكَم قاطع (merge_by_id.py)
T. Haji,Talal Haji,مؤكد,player_id=423690 — حَكَم قاطع (merge_by_id.py)
A. Al Shammari,Abdurahman Al Shammeri,مؤكد,player_id=431622 — حَكَم قاطع (merge_by_id.py)
Abdurahman Al Shammari,Abdurahman Al Shammeri,مؤكد,player_id=431622 — حَكَم قاطع (merge_by_id.py)
A. I. Al Khaibari,Abdulelah Al Khaibari,مؤكد,player_id=431625 — حَكَم قاطع (merge_by_id.py)
S. Tunkar,Sultan Tanker,مؤكد,player_id=431654 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
S. Tanker,Sultan Tanker,مؤكد,player_id=431654 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Abdulelah,Abdulelah Hawsawi,مؤكد,player_id=431891 — حَكَم قاطع (merge_by_id.py)
F. Al Abdulraziq,Fahad Al Abdulrazzaq,مؤكد,player_id=432029 — حَكَم قاطع (merge_by_id.py)
Mohammed Yousef,Mohammed Abdulrahman,مؤكد,player_id=432031 — حَكَم قاطع (merge_by_id.py)
M. Abdulrahman,Mohammed Abdulrahman,مؤكد,player_id=432031 — حَكَم قاطع (merge_by_id.py)
H. Al Zabdani,Hussain Al Zabdani,مؤكد,player_id=432032 — حَكَم قاطع (merge_by_id.py)
E. Al Muwallad,Eid Al Muwallad,مؤكد,player_id=432033 — حَكَم قاطع (merge_by_id.py)
A. Al Hatila,Abdulaziz Al Hatila,مؤكد,player_id=432034 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Sharaf Al Salim,Sharafi Al Saleem,مؤكد,player_id=432036 — حَكَم قاطع (merge_by_id.py)
M. Al Jahif,Mohammed Al Jahif,مؤكد,player_id=432037 — حَكَم قاطع (merge_by_id.py)
A. Al Shaafi,Ali Al Shaafi,مؤكد,player_id=432038 — حَكَم قاطع (merge_by_id.py)
S. Baattia,Saeed Baattia,مؤكد,player_id=432078 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
S. Al Roqi,Sattam Al Roqi,مؤكد,player_id=432079 — حَكَم قاطع (merge_by_id.py)
Sattam Al Ruqi,Sattam Al Roqi,مؤكد,player_id=432079 — حَكَم قاطع (merge_by_id.py)
Mohamed Al Oqil,Mohammed Al Aqeel,مؤكد,player_id=432634 — حَكَم قاطع (merge_by_id.py)
B. Al Mutairi,Bader Al Mutairi,مؤكد,player_id=432635 — حَكَم قاطع (merge_by_id.py)
A. Abdo,Abdullah Abdo,مؤكد,player_id=432778 — حَكَم قاطع (merge_by_id.py)
S. Salem,Saud Salem,مؤكد,player_id=435062 — حَكَم قاطع (merge_by_id.py)
R. Messi,Rayane Messi,مؤكد,player_id=437760 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
Abdullah Al Dosari,Abdullah Al Dossari,مؤكد,player_id=439822 — حَكَم قاطع (merge_by_id.py)
M. Al Saad,Muhannad Al Saad,مؤكد,player_id=439986 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
M. Al Dowaish,Mohammed Al Dowaish,مؤكد,player_id=440489 — حَكَم قاطع (merge_by_id.py)
K. Al Rammah,Khalid Al Rammah,مؤكد,player_id=440492 — حَكَم قاطع (merge_by_id.py)
Khaled Al Rammah,Khalid Al Rammah,مؤكد,player_id=440492 — حَكَم قاطع (merge_by_id.py)
M. H. Tambakti,Marzouq Tambakti,مؤكد,player_id=441530 — حَكَم قاطع (merge_by_id.py)
M. Y. Dawran M.,Majed Dawran,مؤكد,player_id=442316 — حَكَم قاطع (merge_by_id.py)
A. Darisi,Abdulkarim Darisi,مؤكد,player_id=442321 — حَكَم قاطع (merge_by_id.py)
A. Fallatah,Ayman Fallatah,مؤكد,player_id=442322 — حَكَم قاطع (merge_by_id.py)
M. Al Dossary,M. Al Dossari,مؤكد,player_id=443365 — حَكَم قاطع (merge_by_id.py)
M. Meite,Mohamed Kader Meite,مؤكد,player_id=449662 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
A. M. Yousef H.,Hamed Al-Shanqity,مؤكد,player_id=450674 — حَكَم قاطع (merge_by_id.py)
K. Al Subaie,Khalid Al Subaie,مؤكد,player_id=451604 — حَكَم قاطع (merge_by_id.py)
A. Aman,Awad Aman,مؤكد,player_id=456019 — حَكَم قاطع (merge_by_id.py)
S. Haqawi,Saad Haqawi,مؤكد,player_id=457124 — حَكَم قاطع (merge_by_id.py)
Sultan Alessa,Sultan Al Essa,مؤكد,player_id=459714 — حَكَم قاطع (merge_by_id.py)
H. Al Musallam,Hassan Al Musallam,مؤكد,player_id=470335 — حَكَم قاطع (merge_by_id.py)
H. Al Khorayef,Hamad Al-Khorayef,مؤكد,player_id=477140 — حَكَم قاطع (merge_by_id.py)
T. Al Shaifan,Turki Al Shaifan,مؤكد,player_id=482243 — حَكَم قاطع (merge_by_id.py)
A. Al Hussain,Ali Al Hussain,مؤكد,player_id=483647 — حَكَم قاطع (merge_by_id.py)
S. Al Shammari,Sattam Al Shammari,مؤكد,player_id=483649 — حَكَم قاطع (merge_by_id.py)
A. Al Fawaz,Abdulaziz Al Fawaz,مؤكد,player_id=483654 — حَكَم قاطع (merge_by_id.py)
Saif Rashad,Saif Rashad Mohamed,مؤكد,player_id=483657 — حَكَم قاطع (merge_by_id.py)
S. Al Qarni,Saad Al Qarni,مؤكد,player_id=483659 — حَكَم قاطع (merge_by_id.py)
N. Al Ghamdi,Naser Al Ghamdi,مؤكد,player_id=483800 — حَكَم قاطع (merge_by_id.py)
M. Al Aboud,Mehdi Al Aboud,مؤكد,player_id=483804 — حَكَم قاطع (merge_by_id.py)
M. Al Shqaq,Montadhar Alshqaq,مؤكد,player_id=483805 — حَكَم قاطع (merge_by_id.py)
M. Al Saedi,Mohammed Al Saedi,مؤكد,player_id=495561 — حَكَم قاطع (merge_by_id.py)
H. Al Sultan,Hussain Al Sultan,مؤكد,player_id=505751 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
M. Al Rubaie,Mohammed Al-Yami,مؤكد,player_id=543009 — حَكَم قاطع (merge_by_id.py)
M. Al Dawood,Meshal Al Dawood,مؤكد,player_id=576285 — حَكَم قاطع (merge_by_id.py)
Jefferson Ramos,Ramos Jefferson,مؤكد,player_id=576337 — حَكَم قاطع (merge_by_id.py)
Adi,U. Hussein,مؤكد,player_id=578984 — حَكَم قاطع (merge_by_id.py)
S. Dahal,Sabri Abdu Dahal,مؤكد,player_id=606188 — حَكَم قاطع (merge_by_id.py) [صُحِّح الاسم المعروض]
A. Al Otaibi,Abdulrahman Al-Otaibi,مؤكد,player_id=607030 — حَكَم قاطع (merge_by_id.py)
Y. Madani,Yazan Madani,مؤكد,player_id=610449 — حَكَم قاطع (merge_by_id.py)
M. Camara,Mansour Camara,مؤكد,player_id=633732 — حَكَم قاطع (merge_by_id.py)
N. Al Hawairy,Nawaf Mazen Al Hawairy,مؤكد,player_id=635852 — حَكَم قاطع (merge_by_id.py)
F. Al Sobhi,Faisal Al-Sobhi,مؤكد,player_id=640069 — حَكَم قاطع (merge_by_id.py)
Abdullah Al Khateeb,Abdullah Khateeb,مؤكد,نفس player_id + الصيغ متوافقة (عبدالله الخطيب) [سلسلة عبر A. A. Khateeb]
A. Rabbo,A. Abd Rabbo,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (أحمد عبد ربه)
A. Azaizeh,A. Al Azaizeh,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (علي العزايزة)
A. Al Harahshe,A. Al Harahsheh,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (أحمد الحراحشة)
A. Salman,A. Al Salman,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (أدهم سلمان)
Alhaj,A. Alhaj,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (عارف الحاج)
A. Boutouil,Abdelmounaim Boutouil,مؤكد,نفس player_id + الصيغ متوافقة (عبدالمنعم بوطويل)
Abduallah Al-Dosari,Abduallah Al Dossari,مؤكد,نفس player_id + الصيغ متوافقة (عبدالله الدوسري)
Abdullah Al Dossari,Abduallah Al Dossari,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (عبدالله الدوسري)
Abdulrahman Al-Shammeri,Abdul Rahman Al Shammari,مؤكد,نفس player_id (عبدالرحمن الشمري)
A. Al Aliwa,Abdulaziz Al Elewai,مؤكد,متصل عبر صيغة وسيطة (عبد العزيز العليوة)
A. Al Harbi,Abdulaziz Al Harbi,مؤكد,نفس player_id + الصيغ متوافقة (عبدالعزيز الحربي) [سلسلة عبر Abdulaziz Al-Harbi]
A. Al Swealem,Abdulaziz Al-Swealem,مؤكد,نفس player_id + الصيغ متوافقة (عبدالعزيز السويلم)
A. Hawsawi,Abduleallah Hawsawi,مؤكد,نفس player_id + الصيغ متوافقة (عبدالإله هوساوي)
Abdulelah Alshamary,Abdulelah Al Shammry,مؤكد,نفس player_id (عبدالإله الشمري)
A. Al Ajian,Abdullah Al Ajyan,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (عبدالله العجيان)
A. Al Mogren,Abdullah Al Mogren,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (عبدالله المقرن)
Abdullah Alkhaibari,Abdullah Al Khaibari,مؤكد,نفس player_id (عبدالله الخيبري) [سلسلة عبر Abdullah Al-Khaibari]
A. Matuq,Abdullah Matuq,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (عبدالله معتوق)
Abdulrhman Al Anzi,Abdulrahman Al Anazi,مؤكد,نفس player_id (عبدالرحمن العنزي)
A. Al Bouq,Abdulrahman Al Bouq,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (عبدالرحمن البوق)
Abdurahman Al-Dakheel,Abdulrahman Al Dakheel,مؤكد,نفس player_id + الصيغ متوافقة (عبدالرحمن الدخيل) [سلسلة عبر Abdulrahman Al Dakheel] [صُحِّح الاسم المعروض]
A. Al Obaid,Abdulrahman Al Obaid,مؤكد,نفس player_id + الصيغ متوافقة (عبدالرحمن العبيد)
A. Al Senaid,Abdulrahman Al Senaid,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (عبدالرحمن السنيد)
A. Al Khaibary,Abdulrahman Al-Khaibary,مؤكد,نفس player_id + الصيغ متوافقة (عبدالرحمن الخيبري)
Abdulraoof Al-Deqeel,Abdulraouf Al Duqayl,مؤكد,نفس player_id (عبدالرؤوف الدقيل) [سلسلة عبر Abdulraouf Al Dakheel]
A. Maher,Adam Maher,مؤكد,نفس player_id + الصيغ متوافقة (آدم ماهر)
Ahmed Asiri,Ahmad Asiri,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (أحمد عسيري)
A. Hassan,Ahmad Hassan,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (أحمد حسن)
Ahmed Hassan,Ahmad Hassan,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (أحمد حسن)
A. Khaled,Ahmad Khaled,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (أحمد خالد)
A. Mahmoud,Ahmad Mahmoud,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (أحمد محمود)
A. Sabry,Ahmad Sabri,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (أحمد صبري)
A. Abdu,Ahmed Abdu,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (أحمد عبده)
A. Al Nakhli,Ahmed Al Nakhli,مؤكد,نفس player_id + الصيغ متوافقة (أحمد النخلي)
A. Al Siyahi,Ahmed Al Siyahi,مؤكد,نفس player_id + الصيغ متوافقة (أحمد السياحي)
A. Al Ghamdi,Ahmed Al Ghamdi,مؤكد,نفس player_id + الصيغ متوافقة (أحمد الغامدي) [سلسلة عبر Ahmed Al-Ghamdi]
A. Khatir,Ahmed Khatir,مؤكد,نفس player_id + الصيغ متوافقة (أحمد خاطر)
A. Hzair,Ako Hzair,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (أكو هزير)
A. Abbas,Alaa Abbas,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (علاء عباس)
Pozuelo,Alejandro Pozuelo,مؤكد,نفس player_id + الصيغ متوافقة (أليخاندرو بوزويلو)
A. Mitrović,Aleksandar Mitrović,مؤكد,نفس player_id + الصيغ متوافقة (ألكسندر ميتروفيتش)
A. Mendy,Alexandre Mendy,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (ألكسندر ميندي)
A. Abdoulraouf,Ali Abdulraouf,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (علي عبدالرؤوف)
A. Al Hassan,Ali Al Hassan,مؤكد,نفس player_id + الصيغ متوافقة (علي الحسن)
Ali Alzubaidi,Ali Al Zubaidi,مؤكد,نفس player_id (علي الزبيدي)
Ali Al-Bulaihi,Ali Al-Boleahi,مؤكد,نفس player_id (علي البليهي)
Ali Albulayhi,Ali Al-Boleahi,مؤكد,نفس player_id (علي البليهي)
Ali Lajami,Ali Al-Oujami,مؤكد,نفس player_id (علي لاجامي)
A. Jasim,Ali Jasim,مؤكد,نفس player_id + الصيغ متوافقة (علي جاسم)
A. Majrashi,Ali Majrashi,مؤكد,نفس player_id + الصيغ متوافقة (علي مجرشي)
A. Saleh,Ali Saleh,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (علي صالح)
A. Dieng,Aliou Dieng,مؤكد,نفس player_id + الصيغ متوافقة (أليو ديانغ)
Ammar Al Dohaim,Amaar Al Dohaim,مؤكد,نفس player_id + الصيغ متوافقة (عمار الدهيم)
M. Ben Hamida,Amine Ben Hmida,مؤكد,نفس player_id (أمين بن حميدة)
A. Sayoud,Amir Saâyoud,مؤكد,نفس player_id + الصيغ متوافقة (أمير سعيود)
A. Al Harfi,Ammar Al Harfi,مؤكد,نفس player_id + الصيغ متوافقة (عمار الحرفي)
Talisca,Anderson Talisca,مؤكد,نفس player_id + الصيغ متوافقة (أندرسون تاليسكا)
A. Gray,Andre Gray,مؤكد,نفس player_id + الصيغ متوافقة (أندريه غراي)
A. Burcă,Andrei Burcă,مؤكد,نفس player_id + الصيغ متوافقة (أندريه بوركا)
A. Ceesay,Assan Ceesay,مؤكد,نفس player_id + الصيغ متوافقة (أسان سيساي)
A. Dahmen,Aymen Dahmen,مؤكد,نفس player_id + الصيغ متوافقة (أيمن دحمان)
B. Traoré,Ben Traoré,مؤكد,نفس player_id + الصيغ متوافقة (بن تراوري)
B. Varela,Bruno Varela,مؤكد,نفس player_id + الصيغ متوافقة (برونو فاريلا)
El Bahri,C. El Bahri,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (شرف الدين البحري)
C. Smalling,Chris Smalling,مؤكد,نفس player_id + الصيغ متوافقة (كريس سمولينغ)
C. Tătărușanu,Ciprian Tătărușanu,مؤكد,نفس player_id + الصيغ متوافقة (تشيبريان تاتاروشانو)
C. Goodwin,Craig Goodwin,مؤكد,نفس player_id + الصيغ متوافقة (كريغ غودوين)
C. Summerville,Crysencio Summerville,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (كريسينسيو سامرفيل)
D. Nunez,Darwin Núñez,مؤكد,نفس player_id + الصيغ متوافقة (داروين نونيز)
Dhari Al-Enezi,Dhari Al Anazi,مؤكد,نفس player_id (ضاري العنزي)
D. Ndong,Didier N'Dong,مؤكد,نفس player_id + الصيغ متوافقة (ديدييه ندونغ)
Dimitris Kourbelis,Dimitrios Kourbelis,مؤكد,نفس player_id + الصيغ متوافقة (ديميتريوس كوربيليس)
É. Mendy,Edouard Mendy,مؤكد,نفس player_id + الصيغ متوافقة (إدوارد ميندي)
E. Boateng,Emmanuel Boateng,مؤكد,نفس player_id + الصيغ متوافقة (إيمانويل بواتينغ)
Fahad Al-Reshedi,Fahad Al Rashidi,مؤكد,نفس player_id (فهد الرشيدي)
F. Alhubayshi,Fahad Majed Alhubayshi,مؤكد,نفس player_id + الصيغ متوافقة (فهد الحبيشي)
F. Al Abdulwahed,Faisal Al Abdulwahed,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (فيصل عبد الواحد)
F. Al Ghamdi,Faisal Al Ghamdi,مؤكد,نفس player_id + الصيغ متوافقة (فيصل الغامدي)
F. Al Azzmi,Farhan Al Azzmi,مؤكد,الصيغ متوافقة نصياً + نفس الترجمة (فرحان العازمي) [سلسلة عبر Farhan Al Aazmi]
F. Chafaï,Farouk Chafaï,مؤكد,نفس player_id + الصيغ متوافقة (فاروق شافعي)
F. Sakala,Fashion Sakala,مؤكد,نفس player_id + الصيغ متوافقة (فاشون ساكالا)
Fawaz Al-Sagour,Fawaz Al Soqoor,مؤكد,نفس player_id (فواز الصقور)
F. Fajr,Fayçal Fajr,مؤكد,نفس player_id + الصيغ متوافقة (فيصل فجر)
